time_stamp,asset_id,id,train_test,status_type_id,sensor_0_avg,sensor_1_avg,sensor_2_avg,wind_speed_3_avg,wind_speed_4_avg,wind_speed_3_max,wind_speed_3_min,wind_speed_3_std,sensor_5_avg,sensor_5_max,sensor_5_min,sensor_5_std,sensor_6_avg,sensor_7_avg,sensor_8_avg,sensor_9_avg,sensor_10_avg,sensor_11_avg,sensor_12_avg,sensor_13_avg,sensor_14_avg,sensor_15_avg,sensor_16_avg,sensor_17_avg,sensor_18_avg,sensor_18_max,sensor_18_min,sensor_18_std,sensor_19_avg,sensor_20_avg,sensor_21_avg,sensor_22_avg,sensor_23_avg,sensor_24_avg,sensor_25_avg,sensor_26_avg,reactive_power_27_avg,reactive_power_27_max,reactive_power_27_min,reactive_power_27_std,reactive_power_28_avg,reactive_power_28_max,reactive_power_28_min,reactive_power_28_std,power_29_avg,power_29_max,power_29_min,power_29_std,power_30_avg,power_30_max,power_30_min,power_30_std,sensor_31_avg,sensor_31_max,sensor_31_min,sensor_31_std,sensor_32_avg,sensor_33_avg,sensor_34_avg,sensor_35_avg,sensor_36_avg,sensor_37_avg,sensor_38_avg,sensor_39_avg,sensor_40_avg,sensor_41_avg,sensor_42_avg,sensor_43_avg,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_50,sensor_51,sensor_52_avg,sensor_52_max,sensor_52_min,sensor_52_std,sensor_53_avg
2021-08-03 06:10:00,0,0,train,0,22.0,302.9,129.4,1.7000000000000002,1.7000000000000002,11.7,0.5,0.7000000000000001,24.0,24.0,23.9,0.0,31.0,36.0,34.0,35.0,33.0,39.0,41.0,32.0,31.0,34.0,34.0,34.0,35.3,68.3,0.0,22.1,27.0,32.0,33.0,0.9,6.9,5.9,7.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.878048780487805e-05,0.012975609756097562,0.0,0.0006829268292682926,-0.00375609756097561,-0.0032682926829268296,-0.012731707317073172,0.0018536585365853658,-0.0014634146341463415,-2.2,-19.2,2.8,398.9,397.9,394.3,33.0,33.0,35.0,56.0,64.0,79.0,41.0,173.5,30.0,-1280.0,0.0,0.0,-496.0,0.0,0.0,-1280.0,-496.0,0.0,0.0,0.0,0.0,26.0
2021-08-03 06:20:00,0,1,train,0,22.0,307.1,133.6,1.7000000000000002,1.7000000000000002,8.3,0.4,0.7000000000000001,24.0,24.1,23.9,0.0,31.0,36.0,34.0,35.0,33.0,38.0,41.0,32.0,31.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,27.0,32.0,33.0,0.9,6.9,5.8,7.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00375609756097561,-0.0032682926829268296,-0.012926829268292682,0.0018048780487804879,-0.0014146341463414634,-2.2,-17.0,2.7,398.1,397.5,393.7,33.0,33.0,34.0,56.0,64.0,79.0,41.0,173.5,30.0,-1278.0,0.0,0.0,-490.0,0.0,0.0,-1278.0,-490.0,0.0,0.0,0.0,0.0,25.0
2021-08-03 06:30:00,0,2,train,0,22.0,340.6,167.1,0.9,0.9,5.9,0.4,0.4,24.0,24.0,20.7,0.1,31.0,36.0,34.0,35.0,33.0,38.0,41.0,32.0,31.0,34.0,34.0,34.0,2.8,17.6,0.0,5.8,27.0,32.0,33.0,1.0,6.9,6.3,8.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003951219512195122,-0.0032682926829268296,-0.013365853658536585,0.0018048780487804879,-0.0014146341463414634,-2.2,-20.4,2.7,397.4,396.8,393.0,33.0,32.0,34.0,56.0,64.0,79.0,41.0,173.5,30.0,-1356.0,0.0,0.0,-490.0,0.0,0.0,-1356.0,-490.0,0.0,0.0,0.0,0.0,25.0
2021-08-03 06:40:00,0,3,train,0,22.0,124.4,-49.1,1.5,1.5,7.1,0.6000000000000001,0.3,24.0,24.1,23.9,0.0,30.0,36.0,34.0,35.0,33.0,38.0,41.0,32.0,31.0,34.0,34.0,34.0,0.4,11.2,0.0,1.9,26.0,32.0,33.0,0.9,6.8,5.8,7.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037073170731707315,-0.0032682926829268296,-0.012926829268292682,0.0017560975609756098,-0.0014634146341463415,-2.3,-20.5,2.7,400.5,400.1,396.3,32.0,32.0,34.0,55.0,64.0,79.0,41.0,173.5,29.0,-1274.0,0.0,0.0,-509.0,0.0,0.0,-1274.0,-509.0,0.0,0.0,0.0,0.0,26.0
2021-08-03 06:50:00,0,4,train,0,22.0,66.2,-107.3,1.0,1.0,2.1,0.4,0.3,24.0,24.1,23.9,0.0,30.0,36.0,34.0,35.0,33.0,38.0,41.0,31.0,30.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,26.0,32.0,33.0,0.9,6.9,5.8,7.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00375609756097561,-0.0032682926829268296,-0.012926829268292682,0.0017560975609756098,-0.0014634146341463415,-2.1,-19.8,2.7,399.0,398.4,394.6,32.0,32.0,34.0,55.0,63.0,79.0,41.0,173.5,29.0,-1284.0,0.0,0.0,-499.0,0.0,0.0,-1284.0,-499.0,0.0,0.0,0.0,0.0,26.0
2021-08-03 07:00:00,0,5,train,0,22.0,92.0,-81.4,1.1,1.1,5.2,0.4,0.3,24.0,24.1,20.9,0.1,30.0,35.0,34.0,35.0,33.0,37.0,40.0,31.0,30.0,34.0,34.0,33.0,0.0,0.0,0.0,0.0,26.0,31.0,33.0,0.9,6.9,5.8,7.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00375609756097561,-0.0032682926829268296,-0.012926829268292682,0.0017560975609756098,-0.0014634146341463415,-2.2,-20.3,2.7,398.3,397.8,394.0,32.0,32.0,34.0,55.0,63.0,79.0,41.0,173.5,29.0,-1282.0,0.0,0.0,-495.0,0.0,0.0,-1282.0,-495.0,0.0,0.0,0.0,0.0,26.0
2021-08-03 07:10:00,0,6,train,0,22.0,286.9,113.4,0.7000000000000001,0.7000000000000001,1.9,0.4,0.2,24.0,24.1,24.0,0.0,30.0,35.0,33.0,35.0,33.0,37.0,40.0,31.0,30.0,34.0,34.0,33.0,0.0,0.0,0.0,0.0,26.0,31.0,33.0,0.9,6.8,6.2,8.6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003902439024390244,-0.0032682926829268296,-0.013365853658536585,0.0017073170731707317,-0.0014146341463414634,-2.2,-19.5,2.6,398.9,398.2,394.3,32.0,32.0,34.0,55.0,63.0,80.0,41.0,173.5,29.0,-1330.0,0.0,0.0,-487.0,0.0,0.0,-1330.0,-487.0,0.0,0.0,0.0,0.0,26.0
2021-08-03 07:20:00,0,7,train,0,22.0,154.4,-19.1,1.5,1.5,5.5,0.4,0.4,24.0,24.1,23.9,0.0,30.0,35.0,33.0,35.0,33.0,37.0,40.0,31.0,30.0,34.0,34.0,33.0,5.1,25.3,0.0,8.2,26.0,31.0,33.0,0.9,6.4,5.4,7.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035609756097560977,-0.002975609756097561,-0.012878048780487804,0.0018048780487804879,-0.0014634146341463415,-2.1,-16.8,2.7,398.5,398.2,393.8,32.0,32.0,34.0,55.0,63.0,80.0,41.0,173.5,29.0,-1219.0,0.0,0.0,-493.0,0.0,0.0,-1219.0,-493.0,0.0,0.0,0.0,0.0,26.0
2021-08-03 07:30:00,0,8,train,0,22.0,128.7,-44.8,1.7000000000000002,1.7000000000000002,4.2,0.7000000000000001,0.2,24.0,24.1,21.4,0.1,31.0,35.0,33.0,35.0,33.0,37.0,41.0,31.0,30.0,34.0,34.0,33.0,51.4,85.0,22.5,18.9,26.0,31.0,33.0,0.9,6.5,5.6,7.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003658536585365854,-0.003024390243902439,-0.012878048780487804,0.0018048780487804879,-0.0014634146341463415,-2.2,-20.6,2.8,401.4,400.9,396.9,32.0,32.0,34.0,55.0,63.0,80.0,41.0,173.5,29.0,-1246.0,0.0,0.0,-510.0,0.0,0.0,-1246.0,-510.0,0.0,0.0,0.0,0.0,26.0
2021-08-03 07:40:00,0,9,train,0,22.0,126.6,-46.9,1.8,1.8,5.0,1.0,0.3,24.0,24.1,23.9,0.0,31.0,35.0,33.0,35.0,33.0,37.0,40.0,31.0,30.0,34.0,34.0,33.0,76.3,104.6,58.8,11.8,26.0,31.0,33.0,0.9,6.2,6.1,8.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00375609756097561,-0.003024390243902439,-0.012975609756097562,0.0017560975609756098,-0.0014146341463414634,-2.2,-19.5,2.6,398.2,397.5,393.6,32.0,32.0,34.0,55.0,63.0,80.0,41.0,173.5,29.0,-1281.0,0.0,0.0,-483.0,0.0,0.0,-1281.0,-483.0,0.0,0.0,0.0,0.0,25.0
